Line 201: +1 -0 | Open: 1 Close: 0 | Diff: 1
Line 203: +1 -0 | Open: 2 Close: 0 | Diff: 2
Line 204: +1 -0 | Open: 3 Close: 0 | Diff: 3
Line 205: +1 -0 | Open: 4 Close: 0 | Diff: 4
Line 208: +0 -1 | Open: 4 Close: 1 | Diff: 3
Line 210: +0 -1 | Open: 4 Close: 2 | Diff: 2
Line 214: +0 -1 | Open: 4 Close: 3 | Diff: 1
Line 216: +1 -0 | Open: 5 Close: 3 | Diff: 2
Line 218: +1 -0 | Open: 6 Close: 3 | Diff: 3
Line 219: +1 -0 | Open: 7 Close: 3 | Diff: 4
Line 222: +0 -1 | Open: 7 Close: 4 | Diff: 3
Line 223: +1 -0 | Open: 8 Close: 4 | Diff: 4
Line 244: +1 -0 | Open: 9 Close: 4 | Diff: 5
Line 245: +1 -0 | Open: 10 Close: 4 | Diff: 6
Line 250: +0 -1 | Open: 10 Close: 5 | Diff: 5
Line 254: +1 -1 | Open: 11 Close: 6 | Diff: 5
Line 255: +0 -1 | Open: 11 Close: 7 | Diff: 4
Line 258: +0 -1 | Open: 11 Close: 8 | Diff: 3
Line 259: +0 -1 | Open: 11 Close: 9 | Diff: 2
Line 262: +1 -0 | Open: 12 Close: 9 | Diff: 3
Line 263: +1 -0 | Open: 13 Close: 9 | Diff: 4
Line 267: +0 -1 | Open: 13 Close: 10 | Diff: 3
Line 268: +1 -0 | Open: 14 Close: 10 | Diff: 4
Line 270: +1 -0 | Open: 15 Close: 10 | Diff: 5
Line 273: +0 -1 | Open: 15 Close: 11 | Diff: 4
Line 280: +0 -1 | Open: 15 Close: 12 | Diff: 3
Line 281: +0 -1 | Open: 15 Close: 13 | Diff: 2
Line 285: +1 -0 | Open: 16 Close: 13 | Diff: 3
Line 286: +1 -0 | Open: 17 Close: 13 | Diff: 4
Line 287: +1 -0 | Open: 18 Close: 13 | Diff: 5
Line 289: +0 -1 | Open: 18 Close: 14 | Diff: 4
Line 290: +1 -0 | Open: 19 Close: 14 | Diff: 5
Line 293: +0 -1 | Open: 19 Close: 15 | Diff: 4
Line 294: +0 -1 | Open: 19 Close: 16 | Diff: 3
Line 295: +1 -0 | Open: 20 Close: 16 | Diff: 4
Line 296: +1 -0 | Open: 21 Close: 16 | Diff: 5
Line 298: +0 -1 | Open: 21 Close: 17 | Diff: 4
Line 304: +0 -1 | Open: 21 Close: 18 | Diff: 3
Line 305: +0 -1 | Open: 21 Close: 19 | Diff: 2
Line 310: +1 -0 | Open: 22 Close: 19 | Diff: 3
Line 312: +1 -0 | Open: 23 Close: 19 | Diff: 4
Line 313: +1 -0 | Open: 24 Close: 19 | Diff: 5
Line 315: +0 -1 | Open: 24 Close: 20 | Diff: 4
Line 316: +1 -0 | Open: 25 Close: 20 | Diff: 5
Line 323: +0 -1 | Open: 25 Close: 21 | Diff: 4
Line 324: +0 -1 | Open: 25 Close: 22 | Diff: 3
Line 325: +0 -1 | Open: 25 Close: 23 | Diff: 2
Line 329: +1 -0 | Open: 26 Close: 23 | Diff: 3
Line 331: +1 -0 | Open: 27 Close: 23 | Diff: 4
Line 333: +1 -0 | Open: 28 Close: 23 | Diff: 5
Line 334: +1 -0 | Open: 29 Close: 23 | Diff: 6
Line 335: +1 -1 | Open: 30 Close: 24 | Diff: 6
Line 337: +0 -1 | Open: 30 Close: 25 | Diff: 5
Line 339: +0 -1 | Open: 30 Close: 26 | Diff: 4
Line 341: +0 -1 | Open: 30 Close: 27 | Diff: 3
Line 342: +0 -1 | Open: 30 Close: 28 | Diff: 2
Line 345: +1 -0 | Open: 31 Close: 28 | Diff: 3
Line 346: +1 -1 | Open: 32 Close: 29 | Diff: 3
Line 347: +1 -0 | Open: 33 Close: 29 | Diff: 4
Line 348: +1 -0 | Open: 34 Close: 29 | Diff: 5
Line 351: +0 -1 | Open: 34 Close: 30 | Diff: 4
Line 353: +1 -0 | Open: 35 Close: 30 | Diff: 5
Line 356: +0 -1 | Open: 35 Close: 31 | Diff: 4
Line 359: +1 -0 | Open: 36 Close: 31 | Diff: 5
Line 362: +0 -1 | Open: 36 Close: 32 | Diff: 4
Line 365: +1 -0 | Open: 37 Close: 32 | Diff: 5
Line 368: +0 -1 | Open: 37 Close: 33 | Diff: 4
Line 370: +1 -0 | Open: 38 Close: 33 | Diff: 5
Line 373: +0 -1 | Open: 38 Close: 34 | Diff: 4
Line 374: +1 -0 | Open: 39 Close: 34 | Diff: 5
Line 377: +0 -1 | Open: 39 Close: 35 | Diff: 4
Line 378: +0 -1 | Open: 39 Close: 36 | Diff: 3
Line 379: +0 -1 | Open: 39 Close: 37 | Diff: 2
Line 380: +0 -1 | Open: 39 Close: 38 | Diff: 1
Line 383: +1 -0 | Open: 40 Close: 38 | Diff: 2
Line 481: +1 -0 | Open: 41 Close: 38 | Diff: 3
Line 482: +1 -0 | Open: 42 Close: 38 | Diff: 4
Line 485: +0 -1 | Open: 42 Close: 39 | Diff: 3
Line 486: +1 -0 | Open: 43 Close: 39 | Diff: 4
Line 535: +0 -1 | Open: 43 Close: 40 | Diff: 3
Line 537: +1 -0 | Open: 44 Close: 40 | Diff: 4
Line 552: +0 -1 | Open: 44 Close: 41 | Diff: 3
Line 553: +0 -1 | Open: 44 Close: 42 | Diff: 2
Line 555: +0 -1 | Open: 44 Close: 43 | Diff: 1
Line 556: +0 -1 | Open: 44 Close: 44 | Diff: 0
Line 557: +0 -1 | Open: 44 Close: 45 | Diff: -1

Total open: 44, Total close: 45
